hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
handsoffhitler	1046608631968538624	148.23529411764705897127	.92307692307692307692	.00622710622710622710	12	13	17	2730
stopkissinger	1046608631968538624	210.00000000000000019110	.07692307692307692307	.00036630036630036630	1	13	1	2730
handsoffhitler	1046608631968538624	148.23529411764705897127	.92307692307692307692	.00622710622710622710	12	13	17	2730
muskoka	1236324668640047105	12.18750000000000001023	.01785714285714285714	.00146520146520146520	2	112	4	2730
balafalls	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
hydroplant	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
muskokalakes	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
bala	1236324668640047105	48.75000000000000004095	.01785714285714285714	.00036630036630036630	2	112	1	2730
bracebridge	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
idu	1236324668640047105	2.03125000000000000170	.00892857142857142857	.00439560439560439560	1	112	12	2730
conservative	1236324668640047105	5.22321428571428571358	.05357142857142857142	.01025641025641025641	6	112	28	2730
nevervoteconservative	1236324668640047105	.91121495327102803745	.03571428571428571428	.03919413919413919413	4	112	107	2730
cdnpoli	1236324668640047105	1.17943548387096774188	.02678571428571428571	.02271062271062271062	3	112	62	2730
onpoli	1236324668640047105	.72400990099009900992	.02678571428571428571	.03699633699633699633	3	112	101	2730
abpoli	1236324668640047105	1.21875000000000000102	.00892857142857142857	.00732600732600732600	1	112	20	2730
neverforget	1236324668640047105	1.52343749999999999998	.01785714285714285714	.01172161172161172161	2	112	32	2730
nevervoteconservative	1236324668640047105	.91121495327102803745	.03571428571428571428	.03919413919413919413	4	112	107	2730
cdnpoli	1236324668640047105	1.17943548387096774188	.02678571428571428571	.02271062271062271062	3	112	62	2730
onpoli	1236324668640047105	.72400990099009900992	.02678571428571428571	.03699633699633699633	3	112	101	2730
iamcanadian	1236324668640047105	4.06250000000000000341	.00892857142857142857	.00219780219780219780	1	112	6	2730
istandwithtrudeau	1236324668640047105	2.43750000000000000204	.00892857142857142857	.00366300366300366300	1	112	10	2730
liberals	1236324668640047105	6.09375000000000000511	.01785714285714285714	.00293040293040293040	2	112	8	2730
trudeau	1236324668640047105	8.12500000000000000682	.01785714285714285714	.00219780219780219780	2	112	6	2730
philrioux	1236324668640047105	48.75000000000000004095	.01785714285714285714	.00036630036630036630	2	112	1	2730
philriouxtrucking	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
trucker	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
truckyou	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
ottawa	1236324668640047105	.85827464788732394355	.04464285714285714285	.05201465201465201465	5	112	142	2730
quebec	1236324668640047105	4.87500000000000000409	.00892857142857142857	.00183150183150183150	1	112	5	2730
rightwing	1236324668640047105	1.05978260869565217480	.00892857142857142857	.00842490842490842490	1	112	23	2730
profits	1236324668640047105	1.80555555555555555707	.01785714285714285714	.00989010989010989010	2	112	27	2730
profitsoverpeople	1236324668640047105	1.52343750000000000127	.00892857142857142857	.00586080586080586080	1	112	16	2730
nevervoteconservative	1236324668640047105	.91121495327102803745	.03571428571428571428	.03919413919413919413	4	112	107	2730
childcare	1236324668640047105	6.96428571428571429156	.01785714285714285714	.00256410256410256410	2	112	7	2730
forthewealthy	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
childcare	1236324668640047105	6.96428571428571429156	.01785714285714285714	.00256410256410256410	2	112	7	2730
liberals	1236324668640047105	6.09375000000000000511	.01785714285714285714	.00293040293040293040	2	112	8	2730
pmjt	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
forthepeople	1236324668640047105	3.48214285714285714578	.01785714285714285714	.00512820512820512820	2	112	14	2730
cdnpoli	1236324668640047105	1.17943548387096774188	.02678571428571428571	.02271062271062271062	3	112	62	2730
ontario	1236324668640047105	1.68103448275862068948	.03571428571428571428	.02124542124542124542	4	112	58	2730
ford	1236324668640047105	16.25000000000000001592	.14285714285714285714	.00879120879120879120	16	112	24	2730
ottawaoccupied	1236324668640047105	3.04687500000000000255	.00892857142857142857	.00293040293040293040	1	112	8	2730
ottawaseige	1236324668640047105	3.04687500000000000255	.00892857142857142857	.00293040293040293040	1	112	8	2730
torontooccupation	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
ford	1236324668640047105	16.25000000000000001592	.14285714285714285714	.00879120879120879120	16	112	24	2730
whereisdougford	1236324668640047105	1.52343750000000000127	.00892857142857142857	.00586080586080586080	1	112	16	2730
nevervoteconservative	1236324668640047105	.91121495327102803745	.03571428571428571428	.03919413919413919413	4	112	107	2730
neverforget	1236324668640047105	1.52343749999999999998	.01785714285714285714	.01172161172161172161	2	112	32	2730
conservative	1236324668640047105	5.22321428571428571358	.05357142857142857142	.01025641025641025641	6	112	28	2730
propaganda	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
gobillsgo	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
nfl	1236324668640047105	1.62500000000000000136	.00892857142857142857	.00549450549450549450	1	112	15	2730
bills	1236324668640047105	48.75000000000000004095	.01785714285714285714	.00036630036630036630	2	112	1	2730
kcvsbuf	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
snowday	1236324668640047105	8.12500000000000000682	.00892857142857142857	.00109890109890109890	1	112	3	2730
snowdogs	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
sledding	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
snowshoeing	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
lemmmmmmsnow	1236324668640047105	6.09375000000000000511	.00892857142857142857	.00146520146520146520	1	112	4	2730
ottawa	1236324668640047105	.85827464788732394355	.04464285714285714285	.05201465201465201465	5	112	142	2730
gatineau	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
perth	1236324668640047105	4.06250000000000000341	.00892857142857142857	.00219780219780219780	1	112	6	2730
ontario	1236324668640047105	1.68103448275862068948	.03571428571428571428	.02124542124542124542	4	112	58	2730
djokovicted	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
djokoviclied	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
djokovid	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
australianopen	1236324668640047105	12.18750000000000001023	.01785714285714285714	.00146520146520146520	2	112	4	2730
novakdjokovic	1236324668640047105	8.12500000000000000682	.00892857142857142857	.00109890109890109890	1	112	3	2730
antivaxxer	1236324668640047105	2.43750000000000000204	.00892857142857142857	.00366300366300366300	1	112	10	2730
unvaccinated	1236324668640047105	4.06250000000000000341	.00892857142857142857	.00219780219780219780	1	112	6	2730
covidiot	1236324668640047105	4.06250000000000000341	.00892857142857142857	.00219780219780219780	1	112	6	2730
djokovicgohome	1236324668640047105	4.87500000000000000409	.00892857142857142857	.00183150183150183150	1	112	5	2730
djokovicout	1236324668640047105	6.09375000000000000511	.01785714285714285714	.00293040293040293040	2	112	8	2730
djocovid	1236324668640047105	48.75000000000000004095	.01785714285714285714	.00036630036630036630	2	112	1	2730
ausopen	1236324668640047105	2.03125000000000000170	.00892857142857142857	.00439560439560439560	1	112	12	2730
australian	1236324668640047105	24.37500000000000002047	.02678571428571428571	.00109890109890109890	3	112	3	2730
deportdjokovic	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
getvaccinated	1236324668640047105	3.48214285714285714578	.00892857142857142857	.00256410256410256410	1	112	7	2730
getvaxxed	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
kindness	1236324668640047105	6.09375000000000000511	.00892857142857142857	.00146520146520146520	1	112	4	2730
vaccineswork	1236324668640047105	4.87500000000000000409	.00892857142857142857	.00183150183150183150	1	112	5	2730
covid19	1236324668640047105	.17410714285714285711	.01785714285714285714	.10256410256410256410	2	112	280	2730
skating	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
rideaucanal	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
ottawa	1236324668640047105	.85827464788732394355	.04464285714285714285	.05201465201465201465	5	112	142	2730
fun	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
highway413	1236324668640047105	1.10795454545454545547	.00892857142857142857	.00805860805860805860	1	112	22	2730
bradfordbyprrrrrr	1236324668640047105	2.70833333333333333560	.00892857142857142857	.00329670329670329670	1	112	9	2730
voteliberal	1236324668640047105	.60937500000000000009	.00892857142857142857	.01465201465201465201	1	112	40	2730
forthepeople	1236324668640047105	3.48214285714285714578	.01785714285714285714	.00512820512820512820	2	112	14	2730
onpoli	1236324668640047105	.72400990099009900992	.02678571428571428571	.03699633699633699633	3	112	101	2730
dougford	1236324668640047105	1.43382352941176470593	.01785714285714285714	.01245421245421245421	2	112	34	2730
fordfailedkids	1236324668640047105	4.87500000000000000409	.00892857142857142857	.00183150183150183150	1	112	5	2730
fordfailednurses	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
fordfaileddoctors	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
fordfailedhealthcare	1236324668640047105	8.12500000000000000682	.00892857142857142857	.00109890109890109890	1	112	3	2730
fordfailedthepeople	1236324668640047105	2.86764705882352941417	.01785714285714285714	.00622710622710622710	2	112	17	2730
fordfailededucation	1236324668640047105	24.37500000000000002047	.00892857142857142857	.00036630036630036630	1	112	1	2730
fordfailedontario	1236324668640047105	2.03125000000000000170	.01785714285714285714	.00879120879120879120	2	112	24	2730
australianopen2022	1236324668640047105	12.18750000000000001023	.00892857142857142857	.00073260073260073260	1	112	2	2730
djokovicout	1236324668640047105	6.09375000000000000511	.01785714285714285714	.00293040293040293040	2	112	8	2730
