hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
edinburgh	1001228776032763905	221.90909090909090937898	.25000000000000000000	.00112658746415403523	1	4	11	9764
gattini	1001228776032763905	2441.00000000000011150488	.25000000000000000000	.00010241704219582138	1	4	1	9764
adotta	1001228776032763905	2441.00000000000011150488	.25000000000000000000	.00010241704219582138	1	4	1	9764
space	1001228776032763905	221.90909090909090937898	.25000000000000000000	.00112658746415403523	1	4	11	9764
darnitsky	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
russian	1003107003693137921	1.67939456484348125249	.07017543859649122807	.04178615321589512494	4	57	408	9764
arwx	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
arkansas	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
cbsla	1003107003693137921	42.82456140350877282228	.01754385964912280701	.00040966816878328553	1	57	4	9764
fire	1003107003693137921	85.64912280701754566898	.03508771929824561403	.00040966816878328553	2	57	4	9764
emeraldfire	1003107003693137921	42.82456140350877282228	.01754385964912280701	.00040966816878328553	1	57	4	9764
fionahill	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
happeningnow	1003107003693137921	34.25964912280701775606	.01754385964912280701	.00051208521097910692	1	57	5	9764
russians	1003107003693137921	3.23204237007613373390	.01754385964912280701	.00542810323637853338	1	57	53	9764
sharpstick	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
update	1003107003693137921	3.98368013055895552883	.03508771929824561403	.00880786562884063908	2	57	86	9764
mariupol	1003107003693137921	.60960229755884372837	.01754385964912280701	.02877918885702580909	1	57	281	9764
veteransfortheconsmmmmmmutionaloath	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
vintage	1003107003693137921	28.54970760233918164922	.01754385964912280701	.00061450225317492830	1	57	6	9764
history	1003107003693137921	10.07636738906088756373	.01754385964912280701	.00174108971732896353	1	57	17	9764
interestingthings	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
authoritarian	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
january6th	1003107003693137921	5.03818369453044376740	.01754385964912280701	.00348217943465792707	1	57	34	9764
pandemic	1003107003693137921	4.07852965747702590248	.01754385964912280701	.00430151577222449815	1	57	42	9764
russian	1003107003693137921	1.67939456484348125249	.07017543859649122807	.04178615321589512494	4	57	408	9764
ukraine	1003107003693137921	.54640588712610873276	.14035087719298245614	.25686194182712003277	8	57	2508	9764
treatallamericansequally	1003107003693137921	171.29824561403509547054	.01754385964912280701	.00010241704219582138	1	57	1	9764
getty	1003107003693137921	24.47117794486215547177	.01754385964912280701	.00071691929537074969	1	57	7	9764
shameonrebuplicans	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
nowzadukraine	1003107003693137921	171.29824561403509547054	.01754385964912280701	.00010241704219582138	1	57	1	9764
animals	1003107003693137921	9.01569713758079412780	.01754385964912280701	.00194592380172060630	1	57	19	9764
foxnews	1003107003693137921	12.23558897243107773588	.01754385964912280701	.00143383859074149938	1	57	14	9764
tuesdayfeelings	1003107003693137921	171.29824561403509547054	.01754385964912280701	.00010241704219582138	1	57	1	9764
auspol	1003107003693137921	.98447267594273038927	.03508771929824561403	.03564113068414584186	2	57	348	9764
votethemout	1003107003693137921	57.09941520467836329845	.01754385964912280701	.00030725112658746415	1	57	3	9764
ausvotes2022	1003107003693137921	6.11779448621553884661	.01754385964912280701	.00286767718148299877	1	57	28	9764
benefitsofbrexit	1003107003693137921	171.29824561403509547054	.01754385964912280701	.00010241704219582138	1	57	1	9764
fullmoon	1003107003693137921	57.09941520467836329845	.01754385964912280701	.00030725112658746415	1	57	3	9764
meterreadingday	1003107003693137921	42.82456140350877282228	.01754385964912280701	.00040966816878328553	1	57	4	9764
update	1003107003693137921	3.98368013055895552883	.03508771929824561403	.00880786562884063908	2	57	86	9764
covid19	1003107003693137921	.16761080784152161217	.01754385964912280701	.10467021712412945514	1	57	1022	9764
misc	1003107003693137921	171.29824561403509547054	.01754385964912280701	.00010241704219582138	1	57	1	9764
amazonunion	1003107003693137921	171.29824561403509547054	.01754385964912280701	.00010241704219582138	1	57	1	9764
nuclear	1003107003693137921	8.15705931495405182392	.01754385964912280701	.00215075788611224907	1	57	21	9764
costoflivingcrisis	1003107003693137921	6.85192982456140352445	.01754385964912280701	.00256042605489553461	1	57	25	9764
belarus	1003107003693137921	1.76596129499005245063	.01754385964912280701	.00993445309299467431	1	57	97	9764
ukrainian	1003107003693137921	.78939283693103727044	.01754385964912280701	.02222449815649324047	1	57	217	9764
stormeunice	1003107003693137921	5.19085592769803296569	.01754385964912280701	.00337976239246210569	1	57	33	9764
odessa	1003107003693137921	21.41228070175438614980	.01754385964912280701	.00081933633756657107	1	57	8	9764
ukraine	1003107003693137921	.54640588712610873276	.14035087719298245614	.25686194182712003277	8	57	2508	9764
ukrainewar	1003107003693137921	1.80313942751615881814	.01754385964912280701	.00972961900860303154	1	57	95	9764
freeukraine	1003107003693137921	15.57256778309409889709	.01754385964912280701	.00112658746415403523	1	57	11	9764
raisetheage	1003107003693137921	42.82456140350877282228	.01754385964912280701	.00040966816878328553	1	57	4	9764
topgun	1003107003693137921	85.64912280701754773527	.01754385964912280701	.00020483408439164276	1	57	2	9764
ukraine	1003107003693137921	.54640588712610873276	.14035087719298245614	.25686194182712003277	8	57	2508	9764
russian	1003107003693137921	1.67939456484348125249	.07017543859649122807	.04178615321589512494	4	57	408	9764
medtwitter	1003107003693137921	6.58839406207827260580	.01754385964912280701	.00266284309709135600	1	57	26	9764
neurology	1003107003693137921	171.29824561403509547054	.01754385964912280701	.00010241704219582138	1	57	1	9764
maharashtra	1003662615661436929	1394.85714285714292083203	.14285714285714285714	.00010241704219582138	1	7	1	9764
westbengal	1003662615661436929	1394.85714285714292083203	.14285714285714285714	.00010241704219582138	1	7	1	9764
india	1003662615661436929	73.41353383458646649932	.14285714285714285714	.00194592380172060630	1	7	19	9764
modi	1003662615661436929	1394.85714285714292083203	.14285714285714285714	.00010241704219582138	1	7	1	9764
mumbai	1003662615661436929	1394.85714285714292083203	.14285714285714285714	.00010241704219582138	1	7	1	9764
tamilnadu	1003662615661436929	1394.85714285714292083203	.14285714285714285714	.00010241704219582138	1	7	1	9764
madras	1003662615661436929	1394.85714285714292083203	.14285714285714285714	.00010241704219582138	1	7	1	9764
breaking	100380798	2.91288782816229116946	.12500000000000000000	.04291274068004916018	1	8	419	9764
buyastrangerabook	100380798	81.36666666666666667599	.12500000000000000000	.00153625563293732077	1	8	15	9764
partygate	100380798	6.93465909090909091039	.12500000000000000000	.01802539942646456370	1	8	176	9764
pmqs	100380798	12.51794871794871795015	.25000000000000000000	.01997132322818517001	2	8	195	9764
ru	100380798	71.79411764705882392250	.12500000000000000000	.00174108971732896353	1	8	17	9764
mariupol	100380798	4.34341637010676156653	.12500000000000000000	.02877918885702580909	1	8	281	9764
ukraine	100380798	.48664274322169059011	.12500000000000000000	.25686194182712003277	1	8	2508	9764
breaking	1003895325025865730	3.32901466075690419361	.14285714285714285714	.04291274068004916018	1	7	419	9764
mkbirthday	1003895325025865730	697.42857142857146041601	.14285714285714285714	.00020483408439164276	1	7	2	9764
banksy	1003895325025865730	1394.85714285714292083203	.14285714285714285714	.00010241704219582138	1	7	1	9764
goldstrike	1003895325025865730	199.26530612244898035189	.14285714285714285714	.00071691929537074969	1	7	7	9764
ukraine️	1003895325025865730	17.01045296167247387460	.14285714285714285714	.00839819746005735354	1	7	82	9764
stopputinnow	1003895325025865730	43.58928571428571441397	.14285714285714285714	.00327734535026628430	1	7	32	9764
stoprussia	1003895325025865730	28.46647230320699713640	.14285714285714285714	.00501843506759524784	1	7	49	9764
gostomel	1004085488859385863	203.41666666666666850250	.16666666666666666666	.00081933633756657107	1	6	8	9764
ukraine	1004085488859385863	.64885699096225412013	.16666666666666666666	.25686194182712003277	1	6	2508	9764
putin	1004085488859385863	6.78055555555555555606	.16666666666666666666	.02458009012699713232	1	6	240	9764
tn	1004085488859385863	135.61111111111111178329	.16666666666666666666	.00122900450634985661	1	6	12	9764
memphis	1004085488859385863	116.23809523809523853627	.16666666666666666666	.00143383859074149938	1	6	14	9764
uberdonteats	1004085488859385863	1627.33333333333340760482	.16666666666666666666	.00010241704219582138	1	6	1	9764
vaccinessavelives	1005148131091275777	361.62962962962963437541	.11111111111111111111	.00030725112658746415	1	9	3	9764
chernobyl	1005148131091275777	51.66137566137566157322	.11111111111111111111	.00215075788611224907	1	9	21	9764
ukraine	1005148131091275777	1.29771398192450824030	.33333333333333333333	.25686194182712003277	3	9	2508	9764
ukrainerussiawar	1005148131091275777	9.51656920077972709814	.11111111111111111111	.01167554281032363785	1	9	114	9764
moskva	1005148131091275777	90.40740740740740785823	.11111111111111111111	.00122900450634985661	1	9	12	9764
